Payroll Number,First Name,Last Name,Department,Position,Job Title,Latest Start Date,Job Seniority Date,Total Salary,Gender,Hispanic or Latino of any race,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific,White,Two or More Races,Assignment Status,Assignment Category
865513,Ddene,Burne,Accounting,V299.Department Name.Division Name.02,Financial Analyst,2007-10-01,2007-10-01,114605.38,F,,,True,True,,True,,Active Assignment,Fulltime-Temporary
350532,Gaston,Benham,Product Management,I641.Department Name.Division Name.09,Project Manager,2001-01-24,2001-01-24,110682.81,M,,,,,,True,,Active Assignment,Fulltime-Temporary
679526,Lorianne,Beuscher,Marketing,Y892.Department Name.Division Name.06,Staff Scientist,2000-11-09,2000-11-09,127171.62,F,,,,,,,,Active Assignment,Fulltime-Temporary
607876,Catrina,Bullimore,Business Development,E399.Department Name.Division Name.01,Environmental Specialist,2004-02-23,2004-02-23,58765.83,F,,,True,,,True,,Active Assignment,Fulltime-Temporary
607080,Finn,Kerbey,Services,I365.Department Name.Division Name.01,Professor,2002-11-19,2002-11-19,53895.80,M,,,,,,,,Active Assignment,Fulltime-Regular
498669,Francyne,Lissandre,Marketing,S258.Department Name.Division Name.03,Office Assistant I,2008-02-05,2008-02-05,141108.35,F,,,True,True,,True,,Active Assignment,Fulltime-Temporary
741805,Nadean,Joppich,Accounting,S160.Department Name.Division Name.08,Operator,2006-10-30,2006-10-30,93643.26,F,,,,,,True,,Active Assignment,Fulltime-Regular
577909,Bancroft,D'Alwis,Business Development,N420.Department Name.Division Name.02,Speech Pathologist,2008-01-26,2008-01-26,93183.25,M,,,,True,,,,Active Assignment,Parttime-Regular
407185,Sibbie,Kensitt,Engineering,H394.Department Name.Division Name.09,Programmer Analyst IV,2010-03-25,2010-03-25,65680.45,F,,,,,,,,Active Assignment,Parttime-Regular
993776,Melitta,Hefferon,Training,Y583.Department Name.Division Name.05,Human Resources Manager,2012-07-16,2012-07-16,83110.57,F,,,,,,True,,Active Assignment,Fulltime-Regular
269216,Osbourne,Menlove,Product Management,V661.Department Name.Division Name.04,Community Outreach Specialist,2008-03-15,2008-03-15,82178.24,M,,,,True,,True,,Active Assignment,Parttime-Regular
982411,Orazio,Loving,Human Resources,G668.Department Name.Division Name.05,Junior Executive,2013-06-11,2013-06-11,57172.26,M,,True,True,,,True,,Active Assignment,Fulltime-Regular
472788,Gelya,Ruppert,Sales,X226.Department Name.Division Name.02,Librarian,2003-06-20,2003-06-20,68245.94,F,,,True,,,True,,Active Assignment,Parttime-Regular
283982,Royal,Kann,Business Development,V761.Department Name.Division Name.03,Professor,2005-03-30,2005-03-30,43986.38,M,,,True,True,,True,,Active Assignment,Parttime-Regular
109249,Susi,Treacher,Human Resources,R076.Department Name.Division Name.09,Programmer II,2004-05-06,2004-05-06,59644.80,F,True,,,True,,,,Active Assignment,Fulltime-Regular
828038,Shell,Strange,Human Resources,B586.Department Name.Division Name.02,Graphic Designer,2001-09-12,2001-09-12,83418.57,M,,,,True,,,,Active Assignment,Fulltime-Temporary
566539,Todd,Syratt,Sales,W928.Department Name.Division Name.04,Sales Representative,2003-10-01,2003-10-01,87734.81,M,,,True,,,True,,Active Assignment,Fulltime-Temporary
592924,Consalve,Traice,Support,B133.Department Name.Division Name.05,Software Consultant,2001-03-03,2001-03-03,97056.81,M,,,True,,,,,Active Assignment,Fulltime-Temporary
574340,Delphinia,Gilford,Legal,Z583.Department Name.Division Name.04,Research Associate,2005-03-07,2005-03-07,147875.68,F,,,,True,,True,,Active Assignment,Fulltime-Regular
