payroll_number,first_name,last_name,department,position,job,latest_start_date,job_seniority_date,total_salary,gender,assignment_status,assignment_category,race_ethnicity
865513,Ddene,Burne,Accounting,V299.Department Name.Division Name.02,Financial Analyst,2007-10-01,2007-10-01,114605.38,F,Active Assignment,Fulltime-Temporary,Asian
350532,Gaston,Benham,Product Management,I641.Department Name.Division Name.09,Project Manager,2001-01-24,2001-01-24,110682.81,M,Active Assignment,Fulltime-Temporary,White
679526,Lorianne,Beuscher,Marketing,Y892.Department Name.Division Name.06,Staff Scientist,2000-11-09,2000-11-09,127171.62,F,Active Assignment,Fulltime-Temporary,
607876,Catrina,Bullimore,Business Development,E399.Department Name.Division Name.01,Environmental Specialist,2004-02-23,2004-02-23,58765.83,F,Active Assignment,Fulltime-Temporary,Asian
607080,Finn,Kerbey,Services,I365.Department Name.Division Name.01,Professor,2002-11-19,2002-11-19,53895.80,M,Active Assignment,Fulltime-Regular,
498669,Francyne,Lissandre,Marketing,S258.Department Name.Division Name.03,Office Assistant I,2008-02-05,2008-02-05,141108.35,F,Active Assignment,Fulltime-Temporary,Asian
741805,Nadean,Joppich,Accounting,S160.Department Name.Division Name.08,Operator,2006-10-30,2006-10-30,93643.26,F,Active Assignment,Fulltime-Regular,White
577909,Bancroft,D'Alwis,Business Development,N420.Department Name.Division Name.02,Speech Pathologist,2008-01-26,2008-01-26,93183.25,M,Active Assignment,Parttime-Regular,Black or African American
407185,Sibbie,Kensitt,Engineering,H394.Department Name.Division Name.09,Programmer Analyst IV,2010-03-25,2010-03-25,65680.45,F,Active Assignment,Parttime-Regular,
993776,Melitta,Hefferon,Training,Y583.Department Name.Division Name.05,Human Resources Manager,2012-07-16,2012-07-16,83110.57,F,Active Assignment,Fulltime-Regular,White
269216,Osbourne,Menlove,Product Management,V661.Department Name.Division Name.04,Community Outreach Specialist,2008-03-15,2008-03-15,82178.24,M,Active Assignment,Parttime-Regular,Black or African American
982411,Orazio,Loving,Human Resources,G668.Department Name.Division Name.05,Junior Executive,2013-06-11,2013-06-11,57172.26,M,Active Assignment,Fulltime-Regular,American Indian or Alaskan Native
472788,Gelya,Ruppert,Sales,X226.Department Name.Division Name.02,Librarian,2003-06-20,2003-06-20,68245.94,F,Active Assignment,Parttime-Regular,Asian
283982,Royal,Kann,Business Development,V761.Department Name.Division Name.03,Professor,2005-03-30,2005-03-30,43986.38,M,Active Assignment,Parttime-Regular,Asian
109249,Susi,Treacher,Human Resources,R076.Department Name.Division Name.09,Programmer II,2004-05-06,2004-05-06,59644.80,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
828038,Shell,Strange,Human Resources,B586.Department Name.Division Name.02,Graphic Designer,2001-09-12,2001-09-12,83418.57,M,Active Assignment,Fulltime-Temporary,Black or African American
566539,Todd,Syratt,Sales,W928.Department Name.Division Name.04,Sales Representative,2003-10-01,2003-10-01,87734.81,M,Active Assignment,Fulltime-Temporary,Asian
